Analytics TableName,Analytic Field Name,Analytic Field Description,Is Primary Key,Foreign Key Config,Field Type,Values if Dropdown Field,Bigquery Field Name,Biquery ViewName,Should consider for Analytics
SubmittedApplications,officer_current_status,Grouped or summarized version of officer stages to help simplify and understand officer-side progress.,,,DROPDOWN,"L1 Review
L3 Review
L2 Review
Rejected
Proceedings Generated
Shortfall
Hold
Post-Payment
Payment Pending
L4 Review
Awaiting TDR Confirmation",officer_current_status,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,application_current_status,Consolidated status representing the application's current stage in the officer's workflow. Used for grouped status insights.,,,DROPDOWN,"Under Officer Verification
Proceedings Generated
Shortfall
Under Post-Payment Process
Payment Pending
Rejected
Awaiting TDR Confirmation
Under Line Department Verification",application_current_status,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,application_simplified_status,"A further simplified classification of the application status for easier reporting and understanding (e.g., In Progress, Approved, Rejected).",,,DROPDOWN,"In Progress
Rejected
Fee Intimation Issued / Approved
Shortfall
In Progress - Line Dept",application_simplified_status,bn_prod_analytics.submitted_applications,Yes
SubmittedApplications,pending_status,Indicates whether the application is pending with the officer or with the citizen for action.,,,DROPDOWN,"pending_from_officer
pending_from_citizen",pending_status,bn_prod_analytics.submitted_applications,Yes
,,,,,,,,,
ApplicationOfficers,id,Unique identifier for each officer assignment record,Yes,,INTEGER,,id,bn_prod_analytics.application_officers,Yes
ApplicationOfficers,application_id,Foreign key linking to the specific application in SubmittedApplications table. Identifies which application this officer assignment relates to.,,"FK(SubmittedApplications, application_id)",PLAIN_TEXT,,application_id,bn_prod_analytics.application_officers,Yes
ApplicationOfficers,officer_id,Foreign key referencing the specific officer assigned to this application. Links to Officers table for officer details and contact information.,,"FK(Officers, officer_id)",PLAIN_TEXT,,officer_id,bn_prod_analytics.application_officers,Yes
ApplicationOfficers,officer_category,Specific role classification of the assigned officer within the processing hierarchy,,,DROPDOWN,"L1-TVO
L1-STO
L4
L1-APO/JPO
L1-ACP
L3
L1
L2
L1-SI
L1-TTVO",officer_category,bn_prod_analytics.application_officers,Yes
ApplicationOfficers,remaining_time_left_in_sec,"Time remaining (in seconds) for this officer to complete their assigned verification task within SLA guidelines. Used for deadline monitoring and escalation triggers

SLA Breached (Exceed): remaining_time_left_in_sec < 0
At-Risk: remaining_time_left_in_sec <= 172800
SLA Within: remaining_time_left_in_sec >= 0 (included atrisk applications)
SLA Within: remaining_time_left_in_sec > 172800 (not included atrisk applications)

we are using this field is calcualte the Total Pending Days: Ceil((sla_time_in_sec - remaining_time_left_in_sec)/86400)",,,INTEGER,,remaining_time_left_in_sec,bn_prod_analytics.application_officers,Yes
ApplicationOfficers,officer_assigned_datetime,Date and time when this specific officer was assigned to review this application. Marks the start of this officer's processing timeline.,,,DATE_TIME,,officer_assigned_datetime,bn_prod_analytics.application_officers,Yes
ApplicationOfficers,officer_processed_datetime,Date and time when the officer completed their assigned verification task. Used for calculating individual processing times and efficiency metrics.,,,DATE_TIME,,officer_processed_datetime,bn_prod_analytics.application_officers,Yes
ApplicationOfficers,sla_time_in_sec,"Total time allocated (in seconds) for this officer's specific verification task as per Service Level Agreement. Used for SLA compliance monitoring and performance evaluation.

we are using this field is calcualte the Total Pending Days: Ceil((sla_time_in_sec - remaining_time_left_in_sec)/86400)",,,INTEGER,,sla_time_in_sec,bn_prod_analytics.application_officers,Yes
,,,,,,,,,
ApplicationOfficersHierarchy,application_id,Primary key and foreign key linking to the specific application in SubmittedApplications table. Each application has exactly one hierarchy record defining its complete officer structure.,Yes,"FK(SubmittedApplications, application_id)",PLAIN_TEXT,,application_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_1_officer_id,Officer ID assigned at Level 1 for processing the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_1_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_1_tvo_officer_id,Level 1 TVO ID assigned to the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_1_tvo_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_1_sto_officer_id,Level 1 STO ID responsible for the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_1_sto_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_1_acp_officer_id,Level 1 ACP officer ID assigned to the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_1_acp_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_1_apo_jpo_officer_id,Level 1 APO/JPO ID assigned to the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_1_apo_jpo_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_1_si_officer_id,Level 1 SI officer ID handling the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_1_si_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_1_ttvo_officer_id,Level 1 TTVO ID associated with the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_1_ttvo_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_2_officer_id,Officer ID at Level 2 responsible for further processing of the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_2_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_3_officer_id,Officer ID at Level 3 involved in reviewing or approving the application.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_3_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
ApplicationOfficersHierarchy,level_4_officer_id,Officer ID at Level 4 for final-level application processing or decision-making.,,"FK(Officers, officer_id)",PLAIN_TEXT,,level_4_officer_id,bn_prod_analytics.application_officers_hierarchy,Yes
,,,,,,,,,
Officers,officer_id,"Unique identifier for each officer. Primary key used to reference officers in application assignments, workflow tracking, and departmental verification processes.",Yes,,PLAIN_TEXT,,officer_id,bn_prod_analytics.officers,Yes
Officers,name,"Full name of the government officer. Used for identification, communication, and reporting purposes in the application processing workflow.",,,PLAIN_TEXT,,name,bn_prod_analytics.officers,Yes
Officers,designation,"Official job title or position of the officer (e.g., Assistant City Planner, Planning Officer, Director, Commissioner, Tehsildar, Site Inspector).",,,PLAIN_TEXT,,designation,bn_prod_analytics.officers,Yes
Officers,level,"Hierarchical level classification of the officer within the processing workflow (L1, L2, L3, L4 for primary processing officers, or specialized categories for line department officers).",,,PLAIN_TEXT,,level,bn_prod_analytics.officers,Yes
Officers,zone,Geographic or administrative zone assigned to the officer for territorial jurisdiction.,,,PLAIN_TEXT,,zone,bn_prod_analytics.officers,Yes
Officers,phone_number,,,,PLAIN_TEXT,,phone_number,bn_prod_analytics.officers,No
,,,,,,,,,
WorkLoadDetails,id,,Yes,,PLAIN_TEXT,,id,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,application_id,Foreign key linking to the specific application in SubmittedApplications table. Establishes which application requires line department verification.,,"FK(AllApplications, application_id)",PLAIN_TEXT,,application_id,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,cad_file_url,,,,PLAIN_TEXT,,cad_file_url,bn_prod_analytics.workload_details,No
WorkLoadDetails,creation_datetime,Timestamp when the workload detail record was created,,,DATE_TIME,,creation_datetime,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,completed_at,Timestamp when the workload was completed,,,DATE_TIME,,completed_at,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,status,"Current status of the workload (COMPLETED, IN_PROGRESS, CALLED_TO_AUTOCAD, FAILED)",,,DROPDOWN,"COMPLETED
IN_PROGRESS
CALLED_TO_AUTOCAD
FAILED",status,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,area_as_per_drawing,,,,FLOAT,,area_as_per_drawing,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_status_DRAWING_PDF_GENERATION,,,,DROP_DOWN,,activity_status_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,result_status_DRAWING_PDF_GENERATION,,,,DROP_DOWN,,result_status_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_reference_id_DRAWING_PDF_GENERATION,,,,DROP_DOWN,,activity_reference_id_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,failure_remarks_DRAWING_PDF_GENERATION,,,,PLAIN_TEXT,,failure_remarks_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,reason_for_failure_DRAWING_PDF_GENERATION,,,,PLAIN_TEXT,,reason_for_failure_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,metadata_DRAWING_PDF_GENERATION,,,,PLAIN_TEXT,,metadata_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_end_datetime_DRAWING_PDF_GENERATION,,,,DATE_TIME,,activity_end_datetime_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_callback_received_datetime_DRAWING_PDF_GENERATION,,,,DATE_TIME,,activity_callback_received_datetime_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,creation_datetime_DRAWING_PDF_GENERATION,,,,DATE_TIME,,creation_datetime_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,execution_completed_at_DRAWING_PDF_GENERATION,,,,DATE_TIME,,execution_completed_at_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,queue_time_DRAWING_PDF_GENERATION,,,,INTEGER,,queue_time_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,download_time_DRAWING_PDF_GENERATION,,,,INTEGER,,download_time_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,instructions_execution_time_DRAWING_PDF_GENERATION,,,,INTEGER,,instructions_execution_time_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,upload_time_DRAWING_PDF_GENERATION,,,,INTEGER,,upload_time_DRAWING_PDF_GENERATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_status_DRAWING_PDF_INTERMEDIATE,,,,DROP_DOWN,,activity_status_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,result_status_DRAWING_PDF_INTERMEDIATE,,,,DROP_DOWN,,result_status_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_reference_id_DRAWING_PDF_INTERMEDIATE,,,,PLAIN_TEXT,,activity_reference_id_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,failure_remarks_DRAWING_PDF_INTERMEDIATE,,,,PLAIN_TEXT,,failure_remarks_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,reason_for_failure_DRAWING_PDF_INTERMEDIATE,,,,PLAIN_TEXT,,reason_for_failure_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,metadata_DRAWING_PDF_INTERMEDIATE,,,,PLAIN_TEXT,,metadata_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_end_datetime_DRAWING_PDF_INTERMEDIATE,,,,DATE_TIME,,activity_end_datetime_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_callback_received_datetime_DRAWING_PDF_INTERMEDIATE,,,,DATE_TIME,,activity_callback_received_datetime_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,creation_datetime_DRAWING_PDF_INTERMEDIATE,,,,DATE_TIME,,creation_datetime_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,execution_completed_at_DRAWING_PDF_INTERMEDIATE,,,,DATE_TIME,,execution_completed_at_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,queue_time_DRAWING_PDF_INTERMEDIATE,,,,INTEGER,,queue_time_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,download_time_DRAWING_PDF_INTERMEDIATE,,,,INTEGER,,download_time_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,instructions_execution_time_DRAWING_PDF_INTERMEDIATE,,,,INTEGER,,instructions_execution_time_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,upload_time_DRAWING_PDF_INTERMEDIATE,,,,INTEGER,,upload_time_DRAWING_PDF_INTERMEDIATE,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_status_SCRUTINY,,,,DROP_DOWN,,activity_status_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,result_status_SCRUTINY,,,,DROP_DOWN,,result_status_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_reference_id_SCRUTINY,,,,PLAIN_TEXT,,activity_reference_id_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,failure_remarks_SCRUTINY,,,,PLAIN_TEXT,,failure_remarks_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,reason_for_failure_SCRUTINY,,,,PLAIN_TEXT,,reason_for_failure_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,metadata_SCRUTINY,,,,PLAIN_TEXT,,metadata_SCRUTINY,bn_prod_analytics.workload_details,No
